PlayerId;PlayerName;Nationality;Age;Height;Weigh;Foot;Value;Wage;Crossing;Finishing;Heading accuracy;Short passing;Volleys;Dribbling;Curve;FK Accuracy;Long passing;Ball control;Acceleration;Sprint speed;Agility;Reactions;Balance;Shot power;Jumping;Stamina;Strength;Long shots;Aggression;Interceptions;Att. Position;Vision;Penalties;Composure;Defensive awareness;Standing tackle;Sliding tackle;GK Diving;GK Handling;GK Kicking;GK Positioning;GK Reflexes;PlayerName_right;Position
1090;Amine El Ouazzani;Morocco;21;188;74;Left;€1.9M;€2K;61;70;70;67;48;64;40;52;45;68;64;63;57;51;69;65;70;67;64;63;39;13;70;61;69;64;12;13;16;5;11;6;7;9;;RS
3543;Granit Xhaka;Switzerland;30;185;82;Left;€35.5M;€74K;74;67;65;87;50;73;76;77;85;83;48;50;51;82;61;90;69;85;78;79;91;76;76;82;65;78;78;79;75;7;8;11;7;13;;LCM
4106;Zeno Debast;Belgium;19;188;73;Right;€4.7M;€9K;64;51;71;73;37;69;60;61;74;73;58;73;60;71;53;61;75;74;71;56;75;69;53;58;42;71;70;74;70;6;6;15;6;5;;RCB
2391;Julian Rijkhoff;Netherlands;18;183;72;Right;€1.2M;€1K;39;68;54;62;67;69;62;44;37;71;72;69;79;61;74;55;52;55;41;56;29;24;65;58;61;58;21;20;21;13;8;7;13;9;Julian Rijkhoff;Avant-centre
2522;Andries Noppert;Netherlands;29;203;92;Left;€3.2M;€7K;14;19;19;30;19;19;24;14;39;25;35;34;40;74;60;50;64;42;69;20;21;16;15;32;19;54;10;15;13;76;72;67;72;74;Andries Noppert;Gardien de but
1444;Gautier Lloris;France;27;191;87;Left;€2.5M;€13K;44;29;74;63;34;49;36;28;60;63;38;42;53;73;42;53;75;69;84;35;62;73;34;47;39;69;74;73;72;11;9;14;10;15;;LCB
5410;Roman Yaremchuk;Ukraine;27;193;83;Right;€2.5M;€18K;69;70;72;73;70;69;52;54;68;67;70;76;66;75;49;76;82;71;76;69;68;39;73;66;67;67;38;48;34;14;15;13;7;13;;RS
6309;Emiliano Viviano;Italy;37;195;90;Left;€110K;€900;12;17;13;36;13;18;14;16;37;22;16;18;22;64;40;50;53;33;65;18;18;10;10;55;21;64;27;10;12;63;70;67;70;63;;GK
7238;Jules Olivier Ntcham;Cameroon;27;180;80;Right;€2M;€10K;68;63;51;75;66;74;73;70;72;76;69;65;78;58;79;79;70;73;76;72;66;64;67;75;72;76;66;63;60;8;14;14;6;6;;CAM
2251;Jorge Marcos Pombo Escobar;Spain;29;177;76;Right;€850K;€3K;64;65;62;68;65;68;71;73;66;67;70;65;66;56;80;78;79;62;82;70;62;51;63;67;71;72;42;55;56;12;13;8;8;10;Jorge Marcos Pombo Escobar;Défenseur central
4734;Johannes Dörfler;Germany;26;186;80;Right;€425K;€4K;60;54;53;59;42;62;39;37;55;61;72;68;65;59;64;57;73;65;76;42;63;59;58;51;43;54;58;57;56;7;10;6;15;9;Johannes Dörfler;Avant-centre
5916;Pablo Sarabia García;Spain;31;174;70;Left;€8.5M;€65K;80;71;61;81;64;80;83;74;77;80;72;67;81;77;78;75;68;66;57;75;49;58;77;80;72;76;60;54;49;16;7;15;6;14;Pablo Sarabia García;Milieu central
295;Kyle Bartley;England;32;194;94;Right;€1M;€17K;39;26;71;63;23;44;33;34;53;56;48;50;34;67;36;43;71;68;87;20;80;68;35;38;40;66;70;70;64;6;10;14;10;7;;RCB
2626;Camiel Neghli;Algeria;21;179;73;Left;€1.7M;€2K;67;57;42;65;49;67;67;64;55;65;78;88;76;57;62;64;49;67;43;57;49;29;55;64;59;62;43;46;31;10;15;9;11;7;;RM
3058;Yacine Adli;France;22;186;78;Right;€9.5M;€40K;72;65;62;77;64;75;72;75;75;76;65;64;68;76;59;77;69;70;67;73;68;70;71;76;60;78;66;69;62;14;12;9;10;14;Yacine Adli;Milieu défensif
408;Matthew Turner;Wales;20;194;77;Right;€90K;€1K;12;9;10;18;9;10;24;10;23;28;18;27;24;43;21;36;44;26;55;7;20;12;7;22;19;34;6;14;14;50;51;48;48;52;Matthew Turner;Gardien de but
2129;Brais Martínez Prado;Spain;21;175;70;Left;€1.8M;€2K;64;29;52;60;23;62;59;51;57;63;72;72;66;66;68;45;66;69;63;26;52;64;62;49;38;51;59;61;64;9;5;7;9;5;Brais Martínez Prado;Milieu offensif
1581;Joris Chotard;France;21;179;70;Right;€8.5M;€15K;68;55;58;77;47;75;66;57;74;75;65;66;76;73;71;61;65;77;60;58;75;75;64;74;55;74;72;73;66;11;6;7;14;10;;RCM
1879;Francisco Gámez López;Spain;31;174;71;Right;€1.2M;€6K;67;50;59;61;37;64;65;33;58;63;79;80;71;66;69;63;77;84;71;52;66;67;67;62;41;60;66;68;64;6;11;10;10;7;;RB
2254;Marc Bombardó Poyato;Spain;17;182;78;Right;€375K;€500;34;23;58;43;32;44;31;35;28;50;57;56;59;51;66;45;60;63;58;21;57;58;32;35;41;45;56;63;58;5;9;5;9;6;Marc Bombardó Poyato;Gardien de but
4210;Kelvin Kwarteng Yeboah;Italy;23;185;73;Right;€2.5M;€13K;53;70;59;59;57;71;56;40;48;68;91;85;81;74;71;70;80;73;70;58;55;20;71;66;68;65;19;21;17;7;11;12;6;6;Kelvin Kwarteng Yeboah;Arrière droit
3451;Lukas Manuel Klostermann;Germany;27;189;88;Right;€17.5M;€50K;72;55;77;74;41;71;47;22;63;73;80;81;63;81;60;58;88;80;77;31;71;80;68;55;32;68;82;81;85;8;12;10;7;7;;LCB
4856;Loïc Badé;France;23;191;89;Right;€19.5M;€21K;31;45;76;74;24;58;35;23;63;75;51;58;52;70;40;59;81;66;84;44;73;76;33;57;33;73;77;79;77;7;6;14;7;7;;RCB
3841;Maximilian Wöber;Austria;25;188;85;Left;€12.5M;€39K;63;41;78;72;34;63;65;69;69;67;62;68;62;76;55;67;77;72;82;62;83;75;56;60;58;67;78;79;77;13;13;14;14;8;;LCB
7622;Ramzi Safuri;Israel;27;184;74;Right;€2M;€14K;74;64;42;73;48;73;77;76;71;71;69;68;75;68;77;75;60;67;70;74;58;26;67;72;66;71;28;45;42;5;6;13;8;8;;RCM
667;Nathaniel Ford;England;19;185;82;Right;€300K;€850;15;10;16;31;19;18;25;16;38;22;45;48;33;55;52;43;56;31;55;14;29;15;8;44;20;42;21;17;18;56;54;57;52;58;Nathaniel Ford;Gardien de but
167;Patson Daka;Zambia;24;183;71;Right;€6.5M;€35K;51;78;63;64;76;74;65;54;61;74;87;88;79;77;72;75;79;73;66;70;63;20;75;53;75;69;18;28;16;8;6;9;5;11;Patson Daka;Avant-centre
6202;Ange-Yoan Bonny;France;19;189;86;Right;€1.3M;€750;23;66;57;60;54;64;44;32;42;65;74;76;61;61;64;58;71;54;66;55;37;14;62;43;59;53;12;14;12;13;14;11;14;9;;ST
30;Liam Delap;England;20;186;80;Right;€3.4M;€36K;48;71;69;64;66;67;60;37;50;71;66;74;62;63;62;74;78;60;78;62;65;22;65;58;60;55;28;23;21;8;9;10;11;10;Liam Delap;Avant-centre
9;Jaden Philogene-Bidace;England;21;179;67;Right;€7M;€13K;68;71;44;71;57;79;63;43;63;73;82;87;84;64;71;64;60;65;54;61;40;29;65;66;59;70;37;40;37;8;6;8;12;13;;RW
5931;Oliver Tipton;England;19;185;74;Right;€275K;€4K;35;43;51;52;36;31;37;33;54;39;52;53;49;54;51;55;57;55;66;29;59;53;35;38;66;50;55;55;54;13;13;15;11;11;Oliver Tipton;Défenseur central
2388;Ahmetcan Kaplan;Türkiye;20;189;75;Left;€1.8M;€3K;26;25;66;59;27;43;35;28;51;54;60;62;54;62;43;44;73;54;75;23;66;64;27;30;48;62;66;69;68;14;14;12;8;13;Ahmetcan Kaplan;Défenseur central
6169;Cameron Archer;England;21;176;72;Right;€4.9M;€23K;44;74;65;70;66;74;56;47;46;72;77;78;76;73;83;75;79;63;72;65;59;22;74;64;58;71;22;18;21;5;6;12;6;14;;LS
